全国地方公共団体コード,法人番号,ID,地方公共団体名,イベント名,言語コード,イベント通称,サブタイトル,イベント名_カナ,イベント名_英語,コンテンツURL,状態,キーワード,タグ,対象となる産業,開催パターン,開始日,終了日,開始時間,終了時間,開始日時特記事項,所要時間,掲載開始日,掲載終了日,概要,説明,サブイベント,イベント種類,料金(基本),料金(詳細),連絡先名称,連絡先電話番号,連絡先内線番号,主催者,共催団体,関連組織,対象者,対象者備考,場所名称,集合（受付）場所,所在地_全国地方公共団体コード,町字ID,所在地_連結表記,所在地_都道府県,所在地_市区町村,所在地_町字,所在地_番地以下,建物名等(方書),緯度,経度,アクセス方法,駐車場情報,駐車場料金,駐輪場情報,Web開催,Web開催URL,ツール・環境,定員,定員備考,料金種別,決済種別,外国語対応,外国語対応備考,開催条件,参加申込終了日,参加申込終了時間,参加申込方法,申込開始日,申込開始時刻,申込URL,URL,授乳室,おむつ替えコーナー,飲食可否,ベビーカー貸出,ベビーカー利用,画像,画像_ライセンス,備考
232025,,202512040009,愛知県岡崎市,新春五万石マラソン,,,,,,https://otogawariverlife.com/event/1728/,,,,,,2026-01-04,2026-01-04,09:00,,,,,,,新春五万石マラソン,,,,,,,,,,,,,乙川河川緑地,,232025,,愛知県岡崎市康生町５２１,愛知県,岡崎市,康生町,５２１,,34.954236,137.158714,,,,,,,,,,,,,,,,,,,,,https://otogawariverlife.com/event/1728/,,,,,,,,
232025,,202512150001,愛知県岡崎市,おとがわ寒中水泳,,,,,,https://otogawariverlife.com/event/1743/,,,,,,2026-01-11,2026-01-11,13:00,15:00,,,,,,おとがわ寒中水泳,,,,,,,,,,,,,乙川河川緑地,,232025,,愛知県岡崎市康生町５２１,愛知県,岡崎市,康生町,５２１,,34.954236,137.158714,,,,,,,,,,,,,,,,,,,,,https://otogawariverlife.com/event/1743/,,,,,,,,
232025,,202512150002,愛知県岡崎市,岡崎市消防出初・観閲式,,,,,,https://okazaki-kanko.jp/event/695,,,,,,2026-01-11,2026-01-11,09:30,13:00,,,,,,岡崎市消防出初・観閲式,,,,,,,,,,,,,乙川河川緑地,,232025,,愛知県岡崎市康生町５２１,愛知県,岡崎市,康生町,５２１,,34.954236,137.158714,,,,,,,,,,,,,,,,,,,,,https://okazaki-kanko.jp/event/695,,,,,,,,
232025,,202601050001,愛知県岡崎市,出初式フードイベント,,,,,,https://otogawariverlife.com/event/1818/,,,,,,2026-01-11,2026-01-11,10:00,15:00,,,,,,出初式フードイベント,,,,,,,,,,,,,乙川河川緑地,,232025,,愛知県岡崎市康生町５２１,愛知県,岡崎市,康生町,５２１,,34.954236,137.158714,,,,,,,,,,,,,,,,,,,,,https://otogawariverlife.com/event/1818/,,,,,,,,
232025,,202601050002,愛知県岡崎市,企画展「幕末維新の刀剣新々刀 ～再び響く槌の音～」,,,,,,https://www.city.okazaki.lg.jp/houdou/p044865.html,,,,,,2026-01-31,2026-03-08,09:00,17:00,,,,,,企画展「幕末維新の刀剣新々刀 ～再び響く槌の音～」,,,,,,,,,,,,,岡崎城公園,,232025,,愛知県岡崎市康生町561番地１,愛知県,岡崎市,康生町,561番地1,,34.956153,137.159664,,,,,,,,,,,,,,,,,,,,,https://www.city.okazaki.lg.jp/houdou/p044865.html,,,,,,,,
232025,,202601050003,愛知県岡崎市,企画展「幕末維新の刀剣新々刀 ～再び響く槌の音～」,,,,,,https://www.city.okazaki.lg.jp/houdou/p044865.html,,,,,,2026-03-10,2026-04-12,09:00,17:00,,,,,,企画展「幕末維新の刀剣新々刀 ～再び響く槌の音～」,,,,,,,,,,,,,岡崎城公園,,232025,,愛知県岡崎市康生町561番地１,愛知県,岡崎市,康生町,561番地1,,34.956153,137.159664,,,,,,,,,,,,,,,,,,,,,https://www.city.okazaki.lg.jp/houdou/p044865.html,,,,,,,,
